Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
473,   8/4/2024, 03:38:20.997250,   8/4/2024, 03:38:20.804478,      Primary,2,0,-420,2190,8120,-0.15,38.36,Post Stim,16.3,44.2,2.5,1000000,     L2 msmx,8.39
598,   8/4/2024, 03:44:19.571500,   8/4/2024, 03:44:19.444796,      Primary,2,0,-250,2220,7960,-0.1,20.88,Post Stim,4.8,10.4,2,1000000,     L2 msmx,8.05
1305,   8/4/2024, 04:16:49.650500,   8/4/2024, 04:16:49.748886,      Primary,2,0,-120,2240,7920,-0.06,13.16,Post Stim,3.8,6.3,1.7,1000000,     L2 msmx,7.88
1498,   8/4/2024, 04:25:13.225500,   8/4/2024, 04:25:12.999179,      Primary,2,0,-2530,2230,8500,0.17,167.81,Post Stim,99,121.8,1.9,1000000,     L2 msmx,8.58
1780,   8/4/2024, 04:37:52.037250,   8/4/2024, 04:37:51.874252,      Primary,2,0,-310,2150,8080,-0.47,22.47,Post Stim,4.3,9.8,1.9,1000000,     L2 msmx,8.29
1810,   8/4/2024, 04:39:14.427750,   8/4/2024, 04:39:14.256625,      Primary,2,0,-420,2180,8200,-0.22,40.68,Post Stim,7.4,14.2,1.8,1000000,     L2 msmx,8.69
2163,   8/4/2024, 04:54:14.126000,   8/4/2024, 04:54:13.921732,      Primary,2,0,-2630,2380,7900,-0.27,54.27,Post Stim,21.4,36.4,1.8,1000000,     L2 msmx,7.98
2570,   8/4/2024, 05:12:59.450500,   8/4/2024, 05:12:59.264439,      Primary,2,0,-2400,2420,8120,-0.34,35.67,Post Stim,23,48.9,1.5,1000000,     L2 msmx,8.08
2657,   8/4/2024, 05:17:01.101500,   8/4/2024, 05:17:01.293188,      Primary,2,0,-150,2220,8000,-0.27,36.96,Post Stim,10.6,27.6,2.3,1000000,     L2 msmx,7.83
2692,   8/4/2024, 05:18:46.773250,   8/4/2024, 05:18:46.646420,      Primary,2,0,-100,3060,7700,-0.09,68.81,Post Stim,11.1,26.3,1.5,1000000,     L2 msmx,8.31
3695,   8/4/2024, 06:02:23.904250,   8/4/2024, 06:02:23.887938,      Primary,2,0,-1430,3230,7830,0.42,404.86,Post Stim,18.2,28.3,3,1000000,     L2 msmx,9.85
3966,   8/4/2024, 06:14:09.046500,   8/4/2024, 06:14:08.860733,      Primary,2,0,-2380,2240,7790,-0.04,88.63,Post Stim,91.9,131.8,1.7,1000000,     L2 msmx,7.91
4427,   8/4/2024, 06:34:40.711000,   8/4/2024, 06:34:40.666889,      Primary,2,0,-160,2140,8160,-0.64,18.57,Post Stim,5.3,11.6,1.7,1000000,     L2 msmx,9.67
4472,   8/4/2024, 06:36:34.731750,   8/4/2024, 06:36:34.530586,      Primary,2,0,-2550,2290,8120,0.14,77.94,Post Stim,45,127,1.9,1000000,     L2 msmx,8.41
4746,   8/4/2024, 06:49:17.352000,   8/4/2024, 06:49:17.502197,      Primary,2,0,-270,2160,8160,0.1,38.9,Post Stim,4.3,8.7,1.8,1000000,     L2 msmx,7.85
5039,   8/4/2024, 07:02:57.990500,   8/4/2024, 07:02:57.801498,      Primary,2,0,-2280,2150,8210,0.01,109.08,Post Stim,20.3,106.2,1.5,1000000,     L2 msmx,8.15
5097,   8/4/2024, 07:05:49.508500,   8/4/2024, 07:05:49.322063,      Primary,2,0,-2310,2310,7680,-0.16,98.13,Post Stim,14.1,59.4,1.4,1000000,     L2 msmx,8.91
5511,   8/4/2024, 07:24:19.806000,   8/4/2024, 07:24:19.635105,      Primary,2,0,-20,2180,8160,-0.23,67.57,Post Stim,22.6,47.7,2.3,1000000,     L2 msmx,11.46
5731,   8/4/2024, 07:34:33.441250,   8/4/2024, 07:34:33.221584,      Primary,2,0,-300,2210,8000,-0.02,64.38,Post Stim,17.5,31.4,3.1,1000000,     L2 msmx,11.27
5986,   8/4/2024, 07:46:29.468750,   8/4/2024, 07:46:29.329664,      Primary,2,0,-2250,2260,8570,-0.06,73.04,Post Stim,46.5,21.1,1.5,1000000,     L2 msmx,11.95
6192,   8/4/2024, 07:56:40.717500,   8/4/2024, 07:56:40.536243,      Primary,2,0,-2260,2300,7730,0.24,187.75,Post Stim,72.9,179.3,2.8,1000000,     L2 msmx,8.43
6204,   8/4/2024, 07:57:12.121250,   8/4/2024, 07:57:11.942200,      Primary,2,0,-2270,2340,7580,0.09,153.92,Post Stim,42.5,159.1,2.3,1000000,     L2 msmx,10.27
6249,   8/4/2024, 07:59:03.897000,   8/4/2024, 07:59:03.715489,      Primary,2,0,-160,2140,8150,-0.06,88.29,Post Stim,9.7,21.7,2.6,1000000,     L2 msmx,13.97
6277,   8/4/2024, 08:00:20.038250,   8/4/2024, 08:00:19.867741,      Primary,2,0,480,3190,8540,0.26,86.17,Post Stim,37.7,51.5,1.7,1000000,     L2 msmx,8.06
6375,   8/4/2024, 08:04:45.226250,   8/4/2024, 08:04:45.068363,      Primary,2,0,-360,2110,8200,0.74,463.95,Post Stim,172.2,233.5,4.7,1000000,     L2 msmx,31.07
6661,   8/4/2024, 08:18:40.545250,   8/4/2024, 08:18:40.666096,      Primary,2,0,-1550,2690,7330,-0.08,120.82,Post Stim,9.5,21.8,1.8,1000000,     L2 msmx,7.96
7144,   8/4/2024, 08:42:44.337750,   8/4/2024, 08:42:44.151894,      Primary,2,0,-1890,2410,8390,0.12,187.75,Post Stim,117.4,332.2,1.7,1000000,     L2 msmx,8.57
7719,   8/4/2024, 09:11:03.612500,   8/4/2024, 09:11:03.451317,      Primary,2,0,-410,2100,8190,0.38,187.75,Post Stim,113.5,194.4,3.2,1000000,     L2 msmx,13.52
9510,   8/4/2024, 10:36:46.647250,   8/4/2024, 10:36:46.448315,      Primary,2,0,-2670,2310,8170,0.26,187.75,Post Stim,59.9,165.6,1.7,1000000,     L2 msmx,8.07
9836,   8/4/2024, 10:52:05.686250,   8/4/2024, 10:52:05.721511,      Primary,2,0,-2590,2240,8100,0.25,187.75,Post Stim,6.3,17.8,1.7,1000000,     L2 msmx,7.92
1150,   8/4/2024, 04:09:29.483500,   8/4/2024, 04:09:29.552265,      Primary,4,0,-140,2260,7890,-0.34,40.55,Post Stim,8.4,18.6,2.1,1000000,    L2 Check,8.03
5892,   8/4/2024, 07:42:34.071750,   8/4/2024, 07:42:34.045128,      Primary,4,0,-520,2450,5780,0.25,300.9,Post Stim,3954.5,208.7,2.3,1000000,    L2 Check,7.87
